"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"1",0,29,-71,-30,-56,-48,-77,-51,37,7,-75,0,-31,-99,-43,-41,-17,-62,-53,-66,-44,-57,-38,-32
"2",0,0,-109,-49,-89,-80,-107,-81,0,-20,-114,-32,-60,-115,-74,-71,-49,-99,-82,-102,-77,-85,-69,-64
"3",0,0,0,30,19,27,-12,15,140,77,0,73,49,-38,31,26,58,4,14,0,28,19,27,43
"4",0,0,0,0,-21,-12,-37,-25,0,45,-33,40,-1,-64,-5,-6,14,-23,-16,-33,-6,-29,-3,0
"5",0,0,0,0,0,5,-29,0,121,59,-11,59,23,-54,8,5,36,-13,-4,-8,8,-5,8,22
"6",0,0,0,0,0,0,-30,-8,117,55,-29,54,13,-55,6,4,30,-15,-6,-28,3,-11,3,14
"7",0,0,0,0,0,0,0,26,153,84,-31,90,34,-28,35,34,62,18,24,-7,32,24,36,42
"8",0,0,0,0,0,0,0,0,73,62,-7,62,24,-51,7,4,38,-10,0,-3,6,0,12,23
"9",0,0,0,0,0,0,0,0,0,-67,0,-62,-18,-180,-112,0,-82,-135,-127,-76,-118,-121,-115,-106
"10",0,0,0,0,0,0,0,0,0,0,-112,4,-47,-111,-50,-52,-24,-67,-61,-88,-52,-68,-49,-43
"11",0,0,0,0,0,0,0,0,0,0,0,68,56,2,45,48,62,0,51,0,30,34,65,52
"12",0,0,0,0,0,0,0,0,0,0,0,0,-20,-118,-55,-58,-19,-71,-65,-66,-51,-65,-52,-36
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,-58,-5,-6,14,-18,-13,-44,-8,-23,-1,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,55,80,46,50,0,56,35,63,59
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-19,-11,-36,0,-16,0,7
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-17,-10,-27,0,-13,3,8
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49,-37,-57,-25,-39,-26,-14
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,10,19,29
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,9,-5,11,18
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,33,41
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,2,9
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
