"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366"
"1",1,3,4,4,5,5,6,7,8,8,9,10,10,10,10,10,9,9,10,9,9,9,8,7,7,7,6,8,8,10,10,11,12,11,11,13,14,14,16,20,23,24,23,26,24,23,22,21,22,22,22,24,26,24,20,17,16,18,16,19,21,24,27,26,31,35,32,37,46,56,60,81,90,108,123,146,170,191,224,256,285,312,341,363,384,409,424,437,440,461,469,481,509,514,506,495,502,504,521,540,562,580,612,652,667,698,726,741,783,818,905,940,975,991,1011,1038,1063,1067,1072,1071,1071,1077,1070,1056,1080,1068,1065,1066,1088,1107,1160,1207,1275,1342,1439,1539,1689,1821,2033,2184,2384,2556,2748,2899,3078,3304,3543,3737,3946,4130,4285,4328,4671,4827,5040,5210,5501,5810,6119,6533,6848,7308,7641,8091,8511,9005,9730,10286,10836,11512,12204,13139,13638,14508,15076,15547,15876,16544,16955,17439,18052,18424,19233,19692,20239,20659,20772,21507,21938,22307,22802,23986,24431,25263,26326,27093,28340,28651,29740,30839,31757,34000,34856,35516,36423,37632,38270,39327,40895,41635,42305,42665,43711,45845,46710,48524,48355,49015,49797,50731,51152,51124,52460,51745,51655,51686,51947,52045,50578,50656,50276,49954,51230,51635,52034,52717,54693,55083,56270,57287,58853,59043,59416,60427,61394,61373,61891,61340,61662,61513,62176,61281,60556,60577,60097,59135,59053,59277,58750,57218,56279,55876,55141,55092,55169,54014,53338,52785,52364,52376,52316,53025,52434,51916,52447,52713,52461,52182,51980,51513,51143,50803,50581,50788,50091,50121,49527,49111,48915,48099,47559,47291,47317,46668,45669,44724,44044,43196,41699,41368,40108,38708,37577,36590,35339,34871,34146,33049,31721,31062,30641,30028,29618,29282,28820,28089,27487,27307,26725,26606,25918,25066,24332,23630,23356,22713,22136,21695,20917,20099,19652,19322,18655,18234,17964,17646,17256,16970,16702,16236,16190,16178,15967,15985,16146,16284,16572,16957,17563,17928,18074,18523,19125,19879,20685,21205,21548,22040,22364,22844,23681,23973,24019,23219,21946,20624
"2",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,2,2,4,4,7,6,6,7,7,6,7,7,9,11,12,18,21,25,27,27,38,43,59,76,98,114,133,152,180,200,224,249,276,294,331,344,369,377,382,378,383,386,383,383,384,378,377,359,355,334,324,306,308,308,311,307,313,322,324,326,334,337,379,409,446,468,508,522,536,570,597,614,656,726,773,849,910,975,1050,1120,1239,1323,1454,1603,1735,1890,2059,2267,2394,2577,2809,2969,3196,3337,3514,3671,3795,3957,4080,4166,4236,4301,4292,4307,4464,4431,4504,4511,4620,4717,4798,4979,5064,5191,5332,5583,5795,6000,6329,6583,6886,7194,7437,7709,7902,8196,8387,8572,8684,8882,8935,8963,9152,9161,9205,9212,9263,9262,9184,9249,9193,9155,9176,9287,9305,9376,9617,9668,9824,9781,9971,10012,10100,10502,10560,10639,10721,10732,10720,10700,10831,10775,10749,10737,10900,10974,11042,11266,11006,11008,10984,11006,11010,10972,11084,10910,10834,10772,10733,10586,10391,10402,10285,10349,10410,10478,10527,10669,10999,11080,11234,11280,11331,11218,11115,11218,11116,10907,10747,10628,10465,10277,10183,9830,9589,9433,9292,9070,8952,8923,8615,8367,8223,8039,7791,7667,7608,7352,7234,7158,7062,6957,6940,7005,6867,6811,6768,6732,6677,6645,6655,6553,6521,6404,6252,6125,6045,6014,5875,5847,5781,5684,5554,5454,5362,5168,5017,4828,4695,4542,4372,4232,4032,3847,3640,3456,3293,3241,3214,3120,3023,2969,2966,2950,2938,2930,2926,2901,2875,2849,2839,2863,2786,2701,2644,2597,2575,2492,2402,2405,2378,2340,2311,2281,2256,2199,2196,2241,2223,2256,2296,2293,2327,2411,2430,2526,2623,2672,2759,2847,3042,3176,3296,3478,3672,3850,4031,4239,4430,4660,4820,5006,5291,5494,5610,5494,5271,4990
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,4,4,4,4,5,5,6,8,8,10,10,11,11,11,11,9,9,9,9,8,8,7,5,4,2,2,1,1,1,1,2,3,3,3,4,4,5,5,9,9,9,9,9,9,9,8,7,7,8,7,7,7,7,5,7,8,9,8,8,8,8,9,9,8,9,9,9,9,9,7,6,5,5,6,6,6,5,5,5,4,4,3,3,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,3,4,4,6,7,12,15,16,21,23,25,27,33,34,35,34,33,34,33,33,29,30,32,30,29,27,25,19,21,22,23,25,29,30,33,36,35,37,34,36,42,53,56,57,60,67,75,75,81,85,107,112,122,134,155,189,198,222,250,276,279,281,296,305,304,297,302,312,319,314,283,275,268,246,229,232,231,225,220,217,210,207,187,174,166,166,158,142,133,126,128,135,127,131,136,134,135,141,156,167,174,176,191,196,196,193,189,197,202,211,218,225,226,227,212,210,212,198,194,187
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,8,9,11,12,14,17,22,26,35,37,41,43,50,55,62,73,78,86,96,101,103,104,103,97,99,99,100,98,100,99,88,88,82,80,77,84,90,92,98,105,104,103,107,101,99,103,107,109,103,104,99,96,99,95,96,103,117,124,135,150,155,167,177,197,201,219,231,247,261,259,279,277,283,295,286,290,283,286,279,285,289,291,284,284,293,280,282,296,293,306,312,338,342,346,363,355,363,371,385,403,416,446,452,471,482,491,489,495,503,499,493,480,477,471,462,459,430,422,396,384,377,362,360,360,360,377,387,403,403,415,425,445,437,458,479,482,495,502,495,497,491,495,483,491,485,478,464,467,467,451,461,448,446,452,452,453,444,450,436,438,446,450,461,460,457,458,463,471,472,473,483,506,528,546,566,576,607,623,687,729,736,752,785,819,836,892,902,899,910,898,901,914,921,851,846,838,841,820,822,833,794,797,795,843,906,928,948,973,996,1018,1063,1099,1104,1116,1135,1157,1171,1191,1197,1182,1240,1232,1241,1284,1265,1258,1253,1273,1298,1282,1264,1231,1217,1177,1138,1039,994,929,861,822,794,764,739,685,663,661,680,687,685,700,724,753,799,866,912,944,966,952,951,980,963,944,932,910,873,851,831,792,737,692,651,615,600,573,524,505,492,475,465,462,468,478,494,504,529,517,522,552,592,601,613,607,611,604,602,610,585,553,513,463,438
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,3,6,8,8,7,8,12,16,17,17,24,25,35,37,40,42,39,39,44,46,45,42,42,41,42,37,36,26,24,21,21,21,22,17,15,18,22,24,28,33,35,45,49,54,54,61,66,68,72,76,76,73,71,73,68,67,58,55,53,56,49,47,45,42,45,47,48,48,46,49,54,59,79,92,105,110,113,121,128,132,136,145,158,172,191,214,238,260,287,305,346,400,452,513,557,628,658,700,750,800,841,883,886,896,922,941,940,942,923,924,899,917,957,975,1007,1037,1094,1159,1238,1322,1395,1505,1578,1678,1762,1859,2001,2095,2239,2369,2515,2668,2807,2947,3043,3143,3232,3311,3471,3553,3692,3812,3945,4031,4096,4121,4114,4213,4206,4234,4215,4218,4275,4206,4219,4132,4028,3892,3804,3690,3615,3615,3507,3447,3366,3329,3276,3207,3214,3198,3169,3098,3139,3104,3098,3107,3010,2947,2880,2893,2855,2804,2794,2750,2699,2679,2698,2630,2626,2662,2648,2633,2559,2550,2478,2494,2513,2488,2466,2425,2433,2455,2459,2483,2444,2401,2352,2379,2378,2368,2347,2286,2227,2161,2178,2184,2127,2085,1909,1746,1598
"6",3,4,4,5,6,6,6,6,6,6,8,9,9,9,9,6,5,5,4,3,3,3,3,3,3,1,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,2,3,3,3,3,3,5,6,7,9,10,14,20,22,28,35,40,56,75,95,105,111,115,121,126,136,136,133,137,134,131,126,116,104,89,88,81,80,82,83,86,88,89,94,94,93,97,94,90,96,90,91,88,81,74,62,63,66,61,63,61,62,64,68,61,59,63,68,76,79,80,76,87,83,82,86,87,87,85,88,90,85,81,74,72,70,70,53,51,52,47,41,38,34,30,29,32,32,35,37,44,48,51,56,59,65,71,78,85,86,89,90,94,94,94,90,84,82,81,81,78,74,70,68,66,74,78,95,103,111,121,127,137,150,173,200,227,252,276,303,320,338,338,347,355,366,384,404,419,418,422,427,443,460,477,509,526,544,558,564,579,598,601,590,602,605,608,588,572,570,552,582,591,623,667,702,742,790,847,918,955,1011,1072,1161,1226,1312,1329,1397,1440,1495,1573,1610,1716,1769,1801,1953,2218,2684,3171,3553,4156,4713,5288,6004,6684,7400,8061,8554,9087,9598,10314,10735,11008,11379,11753,11699,11771,12171,12373,12509,12621,12849,13481,13673,14149,14290,14601,14904,15078,15210,15603,16248,16415,16349,16335,16325,16172,15673,15874,15576,15199,14773,14417,13938,13902,13926,13459,12908,12654,12455,12206,12025,12105,11898,11693,11498,11365,11107,11012,10737,10226,9851,9637,9380,8958,8640,8364,7955,7566,7302,7088,6812,6536,6338,5994,5604,5280,4977,4670,4522,4295,4101,3820,3583,3400,3284,3168,3180,3009,2828,2823,2787,2792,2826,2882,2892,2859,2786,2704,2702,2704,2833,2705,2568,2424
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,5,6,9,10,10,10,12,13,14,14,13,13,15,16,17,15,14,11,10,10,11,9,8,7,8,9,8,7,7,6,6,7,8,8,9,8,9,9,10,10,11,10,9,9,9,9,9,8,8,7,7,6,6,7,6,4,4,4,3,4,4,3,3,3,4,5,6,6,4,4,6,6,7,9,8,8,12,15,17,16,15,14,15,15,15,13,16,16,15,15,16,12,10,9,9,10,10,9,10,10,10,7,6,5,5,4,5,5,4,5,4,4,4,3,4,4,4,4,6,6,7,6,5,5,4,4,4,6,6,5,5,5,5,4,5,5,6,6,6,7,8,8,7,10,13,13,14,14,14,15,14,14,14,14,13,12,13,12,9,6,7,6,6,5,3,4,5,9,9,10,12,14,19,21,26,28,28,29,31,43,51,55,53,53,56,55,55,55,55,54,55,58,57,57,52,44,45,49,49,57,57,61,59,58,57,57,60,65,72,69,74,72,72,87,83,97,97,102,112,122,143,154,159,165,173,183,191,192,196,204,200,199,204,207,205,188,187,185,184,186,190,232,297,407,465,555,613,695,739,751,771,777,789,803,810,848,806,749,638,580,512,457,379,330,317,296,285,270,253,240,249,287,277,264,252,220,216,203,198,195,196,188,191,187,181,118,74,74,73,70,74,70,67
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,4,4,4,4,4,5,5,6,8,10,11,11,12,12,12,10,14,15,15,15,14,14,13,12,10,9,10,8,8,7,7,3,2,2,2,2,2,2,2,2,4,3,3,3,3,5,6,6,6,8,9,9,9,9,9,8,8,8,8,9,7,7,8,8,7,6,6,6,5,5,4,4,4,5,7,9,8,8,9,8,12,13,15,18,26,30,32,35,41,65,69,75,79,90,100,102,109,120,128,134,145,163,175,177,167,166,168,178,172,166,167,164,161,160,161,163,152,153,166,179,196,225,237,251,272,276,287,292,294,286,282,282,275,264,255,247,230,219,209,205,220,237,261,320,352,407,459,495,536,588,643,692,759,820,877,941,984,1033,1087,1152,1214,1281,1390,1487,1603,1685,1831,1959,2056,2140,2203,2272,2316,2350,2378,2398,2404,2364,2321,2269,2248,2161,2082,2053,2027,2001,1973,1974,1927,1916,1873,1860,1865,1896,1893,1912,1956,1956,1993,2039,2079,2143,2158,2212,2289,2360,2435,2478,2613,2701,2783,2879,3025,3181,3278,3448,3629,3784,3907,4030,4158,4283,4497,4600,4704,4713,4721,4714,4681,4723,4672,4541,4444,4439,4346,4289,4225,4129,3984,3899,3891,3865,3825,3826,3818,3754,3754,3750,3698,3727,3747,3750,3679,3635,3616,3583,3566,3587,3540,3451,3425,3405,3376,3342,3344,3290,3195,3168,3141,3095,3060,3036,2955,2970,2971,2983,3000,3048,3069,3027,3003,2978,3006,3038,3061,3073,3021,3031,2943,2907,2947,2928,2901,2819,2650,2479
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,4,5,5,5,5,5,4,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,5,5,6,6,7,7
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,4,5,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,4,4,5,5,6,5,4,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,3,3,5,5,5,5,5,9,8,9,9,9,9,9,8,8,9,7,7,7,8,8,22,22,23,23,23,29,35,37,37,41,41,43,45,46,52,37,39,40,43,52,51,52,57,63,68,78,83,84,104,101,107,120,137,143,144,159,165,175,201,208,228,238,263,256,272,310,315,317,335,362,378,398,421,429,449,441,479,483,504,563,568,608,640,685,705,733,762,798,810,863,914,928,981,1028,1048,1079,1099,1129,1105,1110,1103,1105,1081,1075,1035,1009,975,943,893,835,781,720,655,640,608,584,536,506,489,460,438,424,387,368,357,352,346,340,328,316,292,305,295,272,255,241,225,213,209,187,175,169,163,150,137,133,111,101,97,100,95,92,91,87,85,76,73,70,66,62,60,58,69,74,81,87,86,86,82,79,80,77,74,74,74,73,70,60,53,43,33,34,35,34,32,30,31,30,28,29,27,25,22,22,19,18,17,14,13,14,12,12,12,10,8,8,10,11,11,10,11,10,9,9,8,9,8,9,9,11,12,10,9
