prov_names,coeff_sc,std_sc
Buenos Aires,0.0804664586395828,0.00111520164711055
CABA,0.0546408968223111,0.00308829651594113
Catamarca,0.00770335461958764,0.0725990727814837
Chaco,0.000376320898012331,0.0447122809208098
Chubut,0.0522003923421267,0.00760941101784506
Córdoba,0.0607180893699898,0.00332211544982568
Corrientes,0,0.0468955685219478
Entre Ríos,0.0117538185510855,0.0144975568740945
Jujuy,0.00531429868267089,0.044016498774518
La Pampa,0.0329341172351603,0.0336926529092298
La Rioja,0.0142312992715385,0.0687604713658985
Mendoza,0.04031670288306,0.00787832417058459
Misiones,0,0.0260091013842753
Neuquén,0.0672242901636152,0.00518971196718158
Río Negro,0.062724879235403,0.00513500775413089
Salta,0.000905568559231304,0.02721347245665
San Juan,0,0.0385685805705935
San Luis,0.024974502899223,0.0364937904746944
Santa Cruz,0.0509590342896764,0.0055835341129468
Santa Fe,0.115179971413156,0.00303265482634217
Santiago del Estero,0.0281934799998586,0.0218089107519523
Tierra del Fuego,0.13469485823479,0.000255867502946041
Tucumán,0.0380356873701567,0.0119982236081685
All,1.62504561451365,0.0504651419810303
